Question,Answer
What is Down syndrome?,"There are trillions of cells in the human body. They are so tiny you can only see them through a microscope. Inside these tiny cells are even tinier parts called chromosomes. Most people have 46 chromosomes in each of their cells.  People with Down syndrome have 47, and because of that they may look and learn differently."
When was Down’s syndrome discovered?,"It is believed that people with Down’s syndrome have always existed. However, it was not until 1866 that the English doctor, John Langdon Down, published the first comprehensive description of the condition, which subsequently took his name."
How common is Down syndrome?,"Down syndrome is the most common chromosome-related condition in the United States. An estimated 6,000 babies are born with the condition in the U.S. every year, which equals about 1 in every 700 babies. There are about 200,000 people in the U.S. diagnosed with Down syndrome."
How do people get Down syndrome?, You cannot “catch” Down syndrome; everyone who has Down syndrome was born with it and will always have it. Down syndrome affects people from all around the world.  Approximately one in 772 babies born in the United States has Down syndrome.
Is Down syndrome transmitted from the mother or father?,The additional genetic material which causes Down syndrome can originate from either the father or the mother. Approximately five percent of the cases have been traced to the father.
What causes Down syndrome?,"The human body is made of cells. All cells contain a center, called a nucleus, in which genes are stored. Genes, which carry the codes responsible for all our inherited characteristics, are grouped along rod-like structures called chromosomes. Normally, the nucleus of each cell contains 23 pairs of chromosomes, half of which are inherited from each parent. Down syndrome occurs when some or all of a person’s cells have an extra full or partial copy of chromosome 21."
Do kids with Down syndrome like the same things as other kids?,"Yes! When you get to know someone with Down syndrome, you will find that they have unique personalities and interests, just like everyone else!  If they want to, they can be on sports teams, make art, play instruments, and join clubs at school. They want to have fun and make new friends as all kids do."
Why is it called Down syndrome?,"Down syndrome was first studied and described by a doctor named John Langdon Down. Today, the condition is named after him."
Can kids with Down syndrome go to school?,"Yes! Some may go to special schools, and others may take special classes, but many are also part of classrooms with other students who don’t have Down syndrome. They may need extra time to do their work, but they can learn the same skills as their classmates."
Are people with Down syndrome always happy?,"No! People with Down syndrome have feelings. Just like everybody else, they can feel hurt and upset by someone who is mean to them.  It is never OK to use the “r-word” to describe someone or something."
How common is Down syndrome in children?,"Down syndrome is the most common chromosomal condition. It's also the leading worldwide cause of intellectual and developmental delays in children. In the United States, approximately 6,000 babies are born with Down syndrome every year."
Is Down syndrome genetic?,"Yes, Down syndrome is a genetic disorder. Abnormal cell division leads to an extra full or partial copy of chromosome 21. The extra genetic material can cause various medical and developmental issues."
Is Down syndrome inherited?,"In most cases, Down syndrome is not an inherited condition. It develops because of an error during fetal cell division. But, it is possible for a child to inherit translocation Down syndrome. This occurs when a parent's chromosomes have rearranged genetic material."
What is the Down syndrome screening process?,"There is a process of high-resolution chromosome testing is used to diagnose Down syndrome. The test uses blood or tissue cells to create a visual representation of chromosomes. The doctor will look at the size, number and shape of the baby's chromosomes. There are also several non-invasive prenatal tests to screen for Down syndrome. Amniocentesis or chorionic villi sampling both detect fetal abnormalities during pregnancy."
How is Down syndrome identified in newborns?,"Down syndrome is most often noticed at birth or shortly thereafter. Physical characteristics alone aren't enough for a diagnosis, though. Chromosome testing will confirm concerns and provide a firm diagnosis."
What are the physical characteristics of Down syndrome?,"Physical characteristics alone are not a diagnosis of Down syndrome. But, children with Down syndrome often share physical similarities. These traits include low muscle tone, small stature and upward slanting eyes. A single deep crease across the palm and wide, short hands with short fingers are also common. A baby’s physical features do not mean they have Down syndrome. Physicians use chromosome testing to make a diagnosis. It is important to remember that every child with Down syndrome is a unique individual. Children may have these physical characteristics to different degrees, or not at all."
What are the different types of Down syndrome?,"There are three types of Down syndrome. Each type impacts the body's chromosomes. Chromosomes contain the genetic information that tells our body how to grow.

1. Trisomy 21, or nondisjunction, accounts for 95% of Down syndrome cases. It happens when an extra copy of chromosome 21 is present in all cells of the body.
2. Translocation Down syndrome impacts about 4% of affected babies. It is the only type of Down syndrome that can be inherited from a parent. The baby will have three copies of chromosome 21, but one attaches to another chromosome. In trisomy 21, the extra copy is separate. To assess risk, parents can consult with a genetic counselor or geneticist.
3. Mosaic Down syndrome accounts for about 1% of Down syndrome cases. It happens when an extra copy of chromosome 21 is present in some, but not all, of the body’s cells. This type of Down syndrome results from a random event shortly after the egg and sperm join together. When cells are dividing, some cells receive an extra copy of chromosome 21. Other cells have two copies."
What are some of the medical concerns in children with Down syndrome?,"Children with Down syndrome have an increased risk for certain medical conditions. They include congenital heart defects, respiratory problems, hearing/vision problems and thyroid conditions.
A wide range of cognitive delays are also common in Down syndrome. Developmental intervention is crucial. Appropriate school placement and accommodations to help each child learn are also important. This maximizes the child’s innate strengths and talents."
What is the Down syndrome life expectancy for a child?,"The average life expectancy for a child with Down syndrome has increased dramatically. In the 1920s, the average life span for a child was nine years. Now, the average life expectancy is approximately 60 years."
What kind of quality of life can a child with Down syndrome expect?,"Quality of life for people with Down syndrome has also improved. Early medical care and developmental intervention are crucial. With support, people with Down syndrome live rich lives full of meaningful experiences. Some adults even develop the skills to live on their own and maintain a job.

To lead fulfilling and productive lives, people with Down syndrome need certain things. Good healthcare, quality educational programs and a stimulating home environment are vital. Loving support from family, friends and the community are also important. Each factor will help a person with Down syndrome lead a fulfilling and productive life."
Can Down syndrome be cured?,"There is no cure for Down syndrome; it is a lifelong condition. However, treatments for many of the medical conditions associated with Down syndrome continuously evolve and improve, increasing the expected lifespan of a person born with Down syndrome. In addition, a better understanding of Down syndrome, developments in therapy and education, and shifting societal norms mean that people with Down syndrome have more opportunities than ever before."
What are common treatments for Down syndrome?,"There is no single, standard treatment for Down syndrome. Treatments are based on each individual’s physical and intellectual needs, as well as his or her personal strengths and limitations.1 People with Down syndrome can receive proper care while living at home and in the community.
A child with Down syndrome likely will receive care from a team of health professionals, including, but not limited to, physicians, special educators, speech therapists, occupational therapists, physical therapists, and social workers. All professionals who interact with children with Down syndrome should provide stimulation and encouragement.
People with Down syndrome are at a greater risk for a number of health problems and conditions than are people who do not have Down syndrome. Many of these associated conditions may require immediate care right after birth, occasional treatment throughout childhood and adolescence, or long-term treatments throughout life. For example, an infant with Down syndrome may need surgery a few days after birth to correct a heart defect, or a person with Down syndrome may have digestive problems that require a lifelong special diet. "
"If I was told my baby might have Down syndrome, what should I expect?","You are here because you have unexpected news – your baby may have Down syndrome. We’ve prepared this information especially for parents who have either just been told the child they are expecting may have or has Down syndrome or have received a recommendation for a Down syndrome screening or diagnostic test.
Hopefully, this information reassures you that everything will be fine; however, there are some things to consider and steps to anticipate before your baby is born."
